app_id,genre
1774580,Adventure
1778820,Action
1782210,Action
1782210,Casual
1782210,Free To Play
1782210,Indie
1782210,Racing
1790600,Action
1794680,Action
1794680,Casual
1794680,Indie
1794680,RPG
1811260,Simulation
1811260,Sports
1817070,Action
1817070,Adventure
1817070,Casual
1818750,Action
1818750,Free To Play
1824220,Action
1824220,Massively Multiplayer
1832640,Adventure
1832640,Indie
1832640,RPG
1832640,Early Access
1840,Animation & Modeling
1840,Video Production
1845910,Action
1845910,Adventure
1845910,RPG
1845910,Strategy
1850570,Action
1850570,Adventure
1868140,Adventure
1868140,Casual
1868140,RPG
1868140,Simulation
1888160,Action
1903340,Action
1903340,RPG
1904540,Simulation
1904540,Sports
1929610,Action
1929610,Adventure
1929610,Indie
1938090,Action
1942280,Action
1942280,Casual
1942280,Indie
1942280,RPG
1943950,Indie
1943950,Early Access
1966720,Action
1966720,Adventure
1966720,Indie
1966720,Early Access
1987080,Adventure
1987080,Indie
1987080,Early Access
19900,Action
2001120,Action
2001120,Adventure
200260,Action
200260,Adventure
200510,Strategy
200710,Action
200710,Adventure
200710,Indie
200710,RPG
2012510,Action
2012510,Strategy
2012510,Free To Play
201270,Strategy
201790,Action
201790,Adventure
201790,Indie
201790,RPG
201790,Strategy
201810,Action
202170,Action
202170,Adventure
2021910,Action
2021910,Casual
2021910,Free To Play
2021910,Strategy
202750,Action
202750,Adventure
202970,Action
202990,Action
203140,Action
203160,Action
203160,Adventure
203290,Action
203290,Free To Play
203770,RPG
203770,Simulation
203770,Strategy
203770,Free To Play
204100,Action
204300,Action
204300,Indie
204300,Strategy
204340,Action
204340,Indie
204360,Action
204360,Adventure
204360,Casual
204360,Indie
204360,RPG
204450,Action
204880,Action
204880,Indie
204880,Simulation
204880,Strategy
2050650,Action
2050650,Adventure
205100,Action
205100,Adventure
2054970,Action
2054970,RPG
20570,Strategy
206420,Action
206420,Adventure
206440,Adventure
206440,Indie
206440,RPG
2064650,Action
2064650,Massively Multiplayer
2064650,RPG
2064650,Free To Play
206480,Action
206480,Adventure
206480,Massively Multiplayer
206480,RPG
206480,Free To Play
206500,Action
206500,Indie
206500,Strategy
206500,Free To Play
207140,Action
207140,Casual
207140,Indie
207140,Racing
207140,Sports
207230,Action
207230,Free To Play
207230,Indie
207610,Adventure
208090,Action
208090,Free To Play
208090,Indie
208140,Strategy
208580,RPG
208650,Action
208650,Adventure
20900,Action
20900,RPG
209000,Action
209000,Adventure
209080,Action
209080,Adventure
209080,Indie
209080,Simulation
209160,Action
209170,Action
20920,RPG
2096610,Action
2100,Action
2100,RPG
210770,Action
210770,Indie
210770,Strategy
211500,Racing
211500,Simulation
211500,Sports
211500,Free To Play
211820,Action
211820,Adventure
211820,Casual
211820,Indie
211820,RPG
212070,Action
212070,Adventure
212070,Massively Multiplayer
212070,RPG
212070,Simulation
212070,Free To Play
212160,Action
212160,Adventure
212160,Massively Multiplayer
212160,RPG
212160,Free To Play
212500,Action
212500,Adventure
212500,Massively Multiplayer
212500,RPG
212500,Free To Play
212680,Indie
212680,Simulation
212680,Strategy
213670,Action
213670,Adventure
213670,RPG
214420,Action
214420,Free To Play
214420,Indie
214490,Action
214560,Action
214560,Adventure
214560,Indie
214950,Strategy
215080,Action
215080,Adventure
215080,Casual
215080,Indie
215080,Massively Multiplayer
215080,RPG
215080,Strategy
215080,Free To Play
215280,Action
215280,Adventure
215280,Massively Multiplayer
215280,RPG
215280,Free To Play
216150,Action
216150,Adventure
216150,Casual
216150,Massively Multiplayer
216150,RPG
216150,Free To Play
21690,Action
21690,Adventure
218230,Action
218230,Massively Multiplayer
218230,Free To Play
2183900,Action
2183900,Adventure
2183900,RPG
218620,Action
218620,RPG
2186680,Action
2186680,Adventure
2186680,Indie
2186680,RPG
2186680,Strategy
219150,Action
219150,Indie
2195250,Simulation
2195250,Sports
219640,Action
219640,Indie
219740,Adventure
219740,Indie
219740,Simulation
219990,Action
219990,Adventure
219990,Indie
219990,RPG
220,Action
220200,Indie
220200,Simulation
220240,Action
220240,Adventure
220440,Action
220440,Adventure
221040,Action
221040,Adventure
221100,Action
221100,Adventure
221100,Massively Multiplayer
221380,Strategy
2215430,Action
2215430,Adventure
221910,Adventure
221910,Indie
222880,Action
222880,Indie
222880,Strategy
2231450,Action
2231450,Indie
22320,RPG
22330,RPG
223470,Action
223470,Adventure
223470,Indie
22370,RPG
223710,Action
223710,Adventure
223710,Indie
223750,Simulation
223750,Free To Play
22380,Action
22380,RPG
224260,Action
224260,Indie
224260,Free To Play
224540,Action
224540,Indie
224600,Action
224600,Free To Play
224600,Massively Multiplayer
224600,RPG
2246340,Action
2246340,Adventure
2246340,RPG
224760,Indie
225080,Action
225080,Adventure
225080,Indie
225260,Action
225260,Adventure
225260,Strategy
225540,Action
225540,Adventure
226840,RPG
226840,Strategy
227300,Indie
227300,Simulation
227940,Action
227940,Free To Play
227940,Indie
227940,Massively Multiplayer
227940,Strategy
2280,Action
228200,Action
228200,Strategy
228280,Adventure
228280,RPG
228380,Action
228380,Indie
228380,Racing
228380,Simulation
228380,Sports
230410,Action
230410,RPG
230410,Free To Play
2310,Action
231060,Free To Play
231060,Massively Multiplayer
231060,RPG
231430,Strategy
232050,Indie
232050,RPG
232050,Strategy
232090,Action
2322010,Action
2322010,Adventure
2322010,RPG
2322560,Adventure
2322560,Indie
2322560,RPG
2322560,Simulation
2322560,Strategy
232770,Action
232770,Indie
232890,Simulation
232890,Strategy
23310,RPG
233130,Action
233130,Adventure
233450,Indie
233450,Simulation
233450,Strategy
233720,Action
233720,Indie
233720,Simulation
233860,Action
233860,Indie
233860,RPG
233860,Simulation
233860,Strategy
234140,Action
234140,Adventure
2344520,Action
2344520,RPG
234650,Adventure
234650,Indie
234650,RPG
234650,Strategy
235460,Action
235600,Action
235600,Adventure
2358720,Action
2358720,Adventure
2358720,RPG
236110,Action
236110,Indie
236110,RPG
236110,Strategy
236110,Free To Play
236390,Action
236390,Massively Multiplayer
236390,Simulation
236390,Free To Play
236850,Simulation
236850,Strategy
236870,Action
237110,Action
237930,Action
237930,Indie
237930,RPG
2379780,Casual
2379780,Indie
2379780,Strategy
238010,Action
238010,RPG
238090,Action
238090,Adventure
238320,Action
238320,Adventure
238320,Indie
238370,Action
238370,Adventure
238460,Action
238460,Adventure
238460,Casual
238460,Indie
238960,Action
238960,Adventure
238960,Indie
238960,Massively Multiplayer
238960,RPG
238960,Free To Play
239030,Adventure
239030,Indie
239140,Action
239140,RPG
239160,Action
239160,Adventure
239350,Indie
239820,Casual
239820,Indie
239820,Simulation
239820,Strategy
2399830,Action
2399830,Adventure
2399830,Indie
2399830,Massively Multiplayer
2399830,RPG
2399830,Early Access
240,Action
24010,Simulation
240320,Action
240320,Massively Multiplayer
240320,RPG
240320,Free To Play
240720,Action
24200,Action
24200,Adventure
24200,Massively Multiplayer
24200,RPG
24200,Free To Play
242050,Action
242050,Adventure
2420510,Action
2420510,Adventure
2420510,Casual
2420510,Indie
24240,Action
242720,Action
242720,Indie
242720,Free To Play
242760,Action
242760,Adventure
242760,Indie
242760,Simulation
242860,Action
242860,Indie
242860,Massively Multiplayer
242860,Simulation
242860,Strategy
242920,Indie
242920,Simulation
242920,Strategy
243470,Action
243470,Adventure
244210,Indie
244210,Racing
244210,Simulation
244210,Sports
244850,Action
244850,Indie
244850,Simulation
244850,Strategy
245170,Action
245170,Indie
245620,RPG
245620,Simulation
245620,Strategy
246620,Casual
246620,Indie
246620,Simulation
246620,Strategy
246900,Indie
246900,Simulation
247080,Action
247080,Indie
247080,RPG
2479810,Action
2479810,Massively Multiplayer
2479810,Early Access
248570,Action
248570,Indie
248570,Strategy
248570,Free To Play
249130,Action
249130,Adventure
24960,Action
24980,RPG
250400,Action
250400,Adventure
250400,RPG
250900,Action
251060,Indie
251060,Simulation
251060,Strategy
251570,Action
251570,Adventure
251570,Indie
251570,RPG
251570,Simulation
251570,Strategy
252130,Adventure
252130,Casual
252130,Indie
252490,Action
252490,Adventure
252490,Indie
252490,Massively Multiplayer
252490,RPG
2527500,Adventure
2527500,Indie
2527500,RPG
2527500,Simulation
252950,Action
252950,Indie
252950,Racing
252950,Sports
253710,Action
253710,Adventure
253710,Free To Play
253710,Simulation
253710,Sports
253900,Simulation
253900,Strategy
253960,Adventure
253980,Action
253980,RPG
254700,Action
254700,Adventure
2551020,Action
2551020,Indie
2551020,Simulation
2551020,Strategy
2551020,Free To Play
2552430,Action
2552430,Adventure
2552430,RPG
255710,Simulation
255710,Strategy
2567870,Adventure
2567870,Casual
2567870,Indie
2567870,Simulation
257350,Adventure
257350,RPG
257510,Action
257510,Adventure
257510,Indie
259080,Action
259080,Adventure
261030,Adventure
261110,Action
261550,Action
261550,Indie
261550,RPG
261550,Simulation
261550,Strategy
261570,Action
261640,Action
261640,RPG
262060,Indie
262060,RPG
262060,Strategy
2622000,Casual
2622000,Indie
2622000,RPG
2622000,Strategy
2622380,Action
2622380,RPG
2623190,RPG
262410,Action
262410,Casual
262410,Indie
262410,Simulation
262410,Strategy
262410,Free To Play
2630,Action
263500,Action
263500,Adventure
263500,Free To Play
263500,Indie
263500,RPG
264710,Adventure
264710,Indie
265550,Action
265590,Strategy
265630,Action
265630,Free To Play
265630,Indie
265930,Casual
265930,Indie
265930,Simulation
266840,Simulation
266840,Strategy
2669320,Simulation
2669320,Sports
2670630,Casual
2670630,Indie
2670630,Simulation
26800,Casual
26800,Indie
26800,Strategy
2680010,Action
2680010,Adventure
2680010,RPG
268050,Action
268420,Adventure
268420,Casual
268420,Free To Play
268420,Massively Multiplayer
268420,RPG
268500,Strategy
268910,Action
268910,Indie
269210,Action
269210,Adventure
269210,Indie
269210,Massively Multiplayer
269210,RPG
2694490,Action
2694490,Adventure
2694490,Massively Multiplayer
2694490,RPG
2694490,Early Access
270150,Action
270150,Indie
270880,Indie
270880,Simulation
2709570,Casual
2709570,Indie
2709570,Simulation
2709570,Free To Play
271590,Action
271590,Adventure
273110,Action
273110,Casual
273110,Indie
273110,Massively Multiplayer
273110,Free To Play
273350,Action
273350,Free To Play
274170,Action
274170,Indie
274190,Action
274190,Adventure
274190,Casual
274190,Indie
274940,Action
274940,Indie
275390,Action
275390,Adventure
275390,Indie
275850,Action
275850,Adventure
278080,Action
278360,Adventure
278360,Casual
278360,Indie
279720,RPG
280,Action
280790,Action
280790,Adventure
280790,Casual
280790,Indie
280790,Massively Multiplayer
280790,RPG
280790,Simulation
281990,Simulation
281990,Strategy
282070,Adventure
282070,Indie
282070,Simulation
282140,Action
282140,Adventure
282140,Indie
282440,Action
2835570,Action
2835570,Indie
2835570,Simulation
284160,Racing
284160,Simulation
284160,Early Access
285190,Action
285190,Simulation
285190,Strategy
285800,Adventure
285800,Casual
285800,Indie
285800,RPG
285800,Strategy
285900,Action
285900,Adventure
