app_id,tag
1092790,3D
1092790,2D
1092790,Pixel Graphics
1092790,FMV
1092790,Adventure
1094520,Open World
1094520,RPG
1094520,Strategy
1094520,War
1094520,Indie
1094520,Adventure
1094520,Sandbox
1094520,Singleplayer
1094520,Character Customization
1094520,Hack and Slash
1094520,Action RPG
1094520,Top-Down
1094520,Story Rich
1094520,Multiplayer
1094520,Martial Arts
1094520,Early Access
1094520,Anime
1094520,Mature
1094520,Moddable
1094520,Action
109600,Free to Play
109600,MMORPG
109600,RPG
109600,Massively Multiplayer
109600,Adventure
109600,Multiplayer
109600,Fantasy
109600,Action
109600,Open World
109600,Character Customization
109600,Dungeons & Dragons
109600,Co-op
109600,Dragons
109600,PvP
109600,Action RPG
109600,PvE
109600,Third Person
109600,Hack and Slash
109600,Atmospheric
109600,Zombies
1097150,Multiplayer
1097150,Party Game
1097150,Battle Royale
1097150,Family Friendly
1097150,Massively Multiplayer
1097150,Platformer
1097150,Cute
1097150,Funny
1097150,PvP
1097150,3D Platformer
1097150,Controller
1097150,Casual
1097150,Colorful
1097150,Action
1097150,Online Co-Op
1097150,Co-op
1097150,Comedy
1097150,Physics
1097150,Indie
1097150,Difficult
1100600,Simulation
1100600,Sports
1100600,Management
1100600,Football (Soccer)
1100600,Football (American)
1100600,Multiplayer
1100600,Strategy
1100600,Singleplayer
1100600,Tactical
11020,Racing
11020,Free to Play
11020,Multiplayer
11020,Automobile Sim
11020,Singleplayer
11020,Level Editor
11020,Arcade
11020,Competitive
11020,Simulation
11020,Controller
11020,Massively Multiplayer
11020,Action
11020,Sports
11020,Difficult
11020,Sandbox
11020,Casual
11020,Adventure
11020,Co-op
11020,First-Person
11020,Indie
110800,Detective
110800,Crime
110800,Open World
110800,Noir
110800,Adventure
110800,Story Rich
110800,Mystery
110800,Investigation
110800,Third Person
110800,Singleplayer
110800,Cinematic
110800,Action
110800,Atmospheric
110800,Mature
110800,Nudity
110800,Puzzle
110800,Third-Person Shooter
110800,Strategy
110800,Thriller
110800,3D Vision
1113000,JRPG
1113000,Great Soundtrack
1113000,Story Rich
1113000,Anime
1113000,Turn-Based Combat
1113000,RPG
1113000,Singleplayer
1113000,Party-Based RPG
1113000,Mystery
1113000,Emotional
1113000,Multiple Endings
1113000,Turn-Based Strategy
1113000,Detective
1113000,Dating Sim
1113000,Colorful
1113000,Adventure
1113000,Strategy
1113000,Visual Novel
1113000,Violent
1113000,Turn-Based
1116170,Top-Down Shooter
1116170,Twin Stick Shooter
1116170,Top-Down
1116170,Singleplayer
1116170,Character Customization
1116170,PvE
1116170,Isometric
1116170,Tactical
1116170,Violent
1116170,Indie
1116170,Co-op
1116170,Gun Customization
1116170,Looter Shooter
1116170,Cyberpunk
1116170,Action
1116170,Inventory Management
1116170,Arena Shooter
1116170,Shooter
1116170,RPG
1116170,Adventure
1118200,Sandbox
1118200,Gore
1118200,Physics
1118200,Blood
1118200,Moddable
1118200,Violent
1118200,2D
1118200,Singleplayer
1118200,Destruction
1118200,Simulation
1118200,Funny
1118200,Building
1118200,Pixel Graphics
1118200,Psychological Horror
1118200,Indie
1118200,Action
1118200,Casual
1118200,Comedy
1118200,Horror
1118200,Choose Your Own Adventure
1128810,Free to Play
1128810,Multiplayer
1128810,Board Game
1128810,Strategy
1128810,Turn-Based Strategy
1128810,War
1128810,Turn-Based
1128810,Tactical
1128810,Singleplayer
1128810,Tabletop
1128810,Turn-Based Tactics
1128810,Casual
1128810,Local Co-Op
1128810,Classic
1128810,Online Co-Op
1128810,Grand Strategy
1128810,Indie
1128810,Local Multiplayer
1128810,Psychological Horror
1128810,Massively Multiplayer
1129580,Crafting
1129580,Building
1129580,Multiplayer
1129580,Co-op
1129580,Medieval
1129580,Survival
1129580,Open World
1129580,Immersive Sim
1129580,Sandbox
1129580,Base-Building
1129580,RPG
1129580,Singleplayer
1129580,Simulation
